#HEADER:Level,LevelCategory,AreaCode,AreaName
2,KECAMATAN,22560,LAMBU KIBANG
2,KECAMATAN,22569,TUMIJAJAR
2,KECAMATAN,22581,PAGAR DEWA
2,KECAMATAN,22587,GUNUNG AGUNG
2,KECAMATAN,22598,WAY KENANGA
1,KABUPATEN/KOTA,24709,KOTA BANDAR LAMPUNG
2,KECAMATAN,24710,KEDATON
2,KECAMATAN,24806,SUKABUMI
2,KECAMATAN,24814,KEMILING
2,KECAMATAN,83504,LABUHAN RATU
2,KECAMATAN,83505,WAY HALIM
2,KECAMATAN,83506,LANGKAPURA
2,KECAMATAN,83507,ENGGAL
2,KECAMATAN,83508,KEDAMAIAN
2,KECAMATAN,83509,TELUKBETUNG TIMUR
2,KECAMATAN,24801,TANJUNG SENANG
2,KECAMATAN,24796,RAJABASA
2,KECAMATAN,24719,SUKARAME
2,KECAMATAN,24725,TANJUNGKARANG BARAT
2,KECAMATAN,24732,PANJANG
2,KECAMATAN,24740,TANJUNGKARANG TIMUR
2,KECAMATAN,24752,TANJUNGKARANG PUSAT
2,KECAMATAN,24764,TELUKBETUNG SELATAN
2,KECAMATAN,24776,TELUKBETUNG BARAT
2,KECAMATAN,24785,TELUKBETUNG UTARA
2,KECAMATAN,83510,BUMI WARAS
1,KABUPATEN/KOTA,24822,KOTA METRO
2,KECAMATAN,24823,METRO PUSAT
2,KECAMATAN,24829,METRO UTARA
2,KECAMATAN,24834,METRO BARAT
2,KECAMATAN,24839,METRO TIMUR
2,KECAMATAN,24845,METRO SELATAN
0,PROVINSI,24993,KEPULAUAN BANGKA BELITUNG
1,KABUPATEN/KOTA,24994,BANGKA
2,KECAMATAN,24995,SUNGAILIAT
2,KECAMATAN,25003,BELINYU
2,KECAMATAN,25012,MERAWANG
2,KECAMATAN,25023,MENDO BARAT
2,KECAMATAN,25037,PEMALI
2,KECAMATAN,25044,BAKAM
2,KECAMATAN,25054,RIAU SILIP
2,KECAMATAN,25064,PUDING BESAR
1,KABUPATEN/KOTA,25072,BELITUNG
2,KECAMATAN,25073,TANJUNG PANDAN
2,KECAMATAN,25086,MEMBALONG
2,KECAMATAN,25099,SELAT NASIK
2,KECAMATAN,25104,SIJUK
2,KECAMATAN,25113,BADAU
1,KABUPATEN/KOTA,25120,BANGKA SELATAN
2,KECAMATAN,25121,TOBOALI
2,KECAMATAN,25133,LEPAR PONGOK
2,KECAMATAN,25140,AIR GEGAS
2,KECAMATAN,25151,SIMPANG RIMBA
2,KECAMATAN,25159,PAYUNG
2,KECAMATAN,25169,TUKAK SADAI
2,KECAMATAN,25175,PULAUBESAR
2,KECAMATAN,83511,KEPULAUAN PONGOK
1,KABUPATEN/KOTA,25181,BANGKA TENGAH
2,KECAMATAN,25182,KOBA
2,KECAMATAN,25194,PANGKALAN BARU
2,KECAMATAN,25205,SUNGAI SELAN
2,KECAMATAN,25217,SIMPANG KATIS
2,KECAMATAN,25228,NAMANG
2,KECAMATAN,25236,LUBUK BESAR
1,KABUPATEN/KOTA,25245,BANGKA BARAT
2,KECAMATAN,25246,MUNTOK
2,KECAMATAN,25254,SIMPANG TERITIP
2,KECAMATAN,25268,JEBUS
2,KECAMATAN,25280,KELAPA
2,KECAMATAN,25295,TEMPILANG
2,KECAMATAN,25305,PARITTIGA
1,KABUPATEN/KOTA,25316,BELITUNG TIMUR
2,KECAMATAN,25317,MANGGAR
2,KECAMATAN,25327,GANTUNG
2,KECAMATAN,25335,DENDANG
2,KECAMATAN,25340,KELAPA KAMPIT
2,KECAMATAN,25347,DAMAR
2,KECAMATAN,25353,SIMPANG RENGGIANG
2,KECAMATAN,25358,SIMPANG PESAK
1,KABUPATEN/KOTA,25363,KOTA PANGKALPINANG
2,KECAMATAN,25364,BUKITINTAN
2,KECAMATAN,25372,TAMAN SARI
2,KECAMATAN,25377,PANGKAL BALAM
2,KECAMATAN,25388,RANGKUI
2,KECAMATAN,25398,GERUNGGANG
2,KECAMATAN,83512,GABEK
2,KECAMATAN,83513,GIRIMAYA
0,PROVINSI,25405,KEPULAUAN RIAU
1,KABUPATEN/KOTA,25471,BINTAN
2,KECAMATAN,25472,GUNUNG KIJANG
2,KECAMATAN,25522,BINTAN PESISIR
2,KECAMATAN,25517,MANTANG
2,KECAMATAN,25512,TOAPAYA
2,KECAMATAN,25504,TELOK SEBONG
2,KECAMATAN,25495,TAMBELAN
2,KECAMATAN,25488,TELUK BINTAN
2,KECAMATAN,25482,BINTAN UTARA
2,KECAMATAN,25477,BINTAN TIMUR
2,KECAMATAN,25527,SERI KUALA LOBAM
1,KABUPATEN/KOTA,25533,KARIMUN
2,KECAMATAN,25534,MORO
2,KECAMATAN,83515,UNGAR
2,KECAMATAN,83514,MERAL BARAT
2,KECAMATAN,25592,DURAI
2,KECAMATAN,25586,KUNDUR BARAT
2,KECAMATAN,25577,KUNDUR UTARA
2,KECAMATAN,25572,BURU
2,KECAMATAN,25564,TEBING
2,KECAMATAN,25558,MERAL
2,KECAMATAN,25551,KARIMUN
2,KECAMATAN,25542,KUNDUR
2,KECAMATAN,83516,BELAT
1,KABUPATEN/KOTA,25597,NATUNA
2,KECAMATAN,25598,MIDAI
2,KECAMATAN,25673,BUNGURAN SELATAN
2,KECAMATAN,25669,BUNGURAN TENGAH
2,KECAMATAN,25661,BUNGURAN TIMUR LAUT
2,KECAMATAN,25650,PULAU TIGA
2,KECAMATAN,25646,PULAU LAUT
2,KECAMATAN,25637,SUBI
2,KECAMATAN,25628,BUNGURAN UTARA
2,KECAMATAN,25621,BUNGURAN TIMUR
2,KECAMATAN,25615,SERASAN
2,KECAMATAN,25605,BUNGURAN BARAT
2,KECAMATAN,25678,SERASAN TIMUR
1,KABUPATEN/KOTA,25683,LINGGA
2,KECAMATAN,25684,SINGKEP
2,KECAMATAN,25696,LINGGA
2,KECAMATAN,25715,SENAYANG
2,KECAMATAN,25727,LINGGA UTARA
2,KECAMATAN,25736,SINGKEP BARAT
